compound_name,clinical_phase,mechanism_of_action,cf_max_score,cf_avg_score,cf_top_pose,docking_max_score,docking_avg_score,docking_top_pose,safety_Aurora kinase A,safety_Bile Salt Export Pump model 2,safety_Caspase 3,safety_Cathepsin L1,safety_hERG_pIC50,safety_KCNA5,safety_Muscarinic acetylcholine receptor M1,safety_Muscarinic acetylcholine receptor M3,hERG_pIC50,KCNA5,pk_Human microsomal clearance model 2,chem_a_acc,chem_a_don,chem_chi0,chem_chi1,chem_chi0_c,chem_chi1_c,chem_kier1,chem_lip_acc,chem_npr1,chem_peoe_pcplus,chem_peoe_vsaplus0,chem_peoe_vsaplus2,chem_peoe_vsaplus4,chem_peoe_vsaplus6,chem_peoe_vsaminus1,chem_peoe_vsaminus3,chem_peoe_vsaminus5,chem_pmi,chem_pmi2,chem_pmix,chem_pmiz,chem_slogp,chem_slogp_vsa1,chem_slogp_vsa3,chem_slogp_vsa5,chem_slogp_vsa7,chem_slogp_vsa9,chem_smr_vsa0,chem_smr_vsa2,chem_smr_vsa4,chem_smr_vsa6,chem_tpsa,cv_safety_score,high_potential
8-M-PDOT,Preclinical,melatonin receptor agonist,6.86,6.062,5.6,-4.9,-5.09,-5.4,4.67,3.49,5.5,4.68,4.45,5.87,4.74,4.72,4.45,5.87,1.27,2.0,1.0,12.25,8.24,9.84,5.73,13.43,3.0,0.2,1.29,83.76,0.0,12.95,0.0,43.26,0.0,13.57,2792.13,2295.16,2234.8,59.92,2.08,5.26,0.0,73.12,52.93,38.57,23.86,18.01,0.0,5.26,38.33,5.16,0
NU-6027,Preclinical,CDK inhibitor,7.2,6.257,6.38,-6.0,-6.26,-6.8,4.4,3.5,4.54,3.79,5.3,5.78,6.04,5.87,5.3,5.78,0.86,4.0,2.0,12.96,8.7,7.13,3.89,14.41,7.0,0.27,1.71,46.92,45.67,28.63,0.0,26.1,5.68,13.3,2748.59,2188.85,2040.64,148.11,2.0,33.57,45.03,19.82,0.0,11.8,0.0,28.51,6.98,20.93,116.48,5.54,0
paromomycin,Launched,bacterial 30S ribosomal subunit inhibitor,5.19,4.396,4.17,-4.5,-4.7299999999999995,-5.1,5.38,3.55,4.25,4.92,3.59,6.07,6.41,6.36,3.59,6.07,0.21,14.0,8.0,31.04,19.84,13.8,7.04,34.87,19.0,0.3,11.89,8.53,86.87,104.9,129.29,0.0,0.0,0.0,17047.65,13440.87,12220.58,1220.02,-12.45,0.0,60.29,0.0,0.0,0.0,66.0,164.49,0.0,60.29,355.42,4.83,0
glecaprevir,Launched,serine protease inhibitor,6.65,5.744000000000001,6.12,-6.3,-6.57,-7.2,6.94,4.89,6.73,5.19,4.4,5.97,6.46,7.32,4.4,5.97,1.59,9.0,3.0,42.0,27.14,25.27,13.83,46.01,15.0,0.52,5.55,155.81,29.28,38.18,21.43,93.01,26.35,29.64,23209.48,14151.74,12230.26,1923.07,4.17,107.96,39.37,0.0,110.15,221.82,165.62,58.66,4.29,62.46,195.22,5.1850000000000005,0
delta-tocotrienol,Phase 1,HMGCR inhibitor,7.46,6.550999999999999,5.91,-5.6,-5.760000000000001,-6.0,7.09,4.35,4.72,3.37,5.03,6.28,6.28,6.89,5.03,6.28,1.2,2.0,1.0,21.44,13.68,19.73,12.34,25.26,2.0,0.15,1.73,145.02,0.0,10.32,0.0,43.39,0.0,0.0,11389.31,10206.0,9754.13,451.86,7.98,0.0,0.0,28.43,88.22,210.44,0.0,0.0,0.0,0.0,29.46,5.655,0
segesterone-acetate,Launched,progesterone receptor agonist,8.29,6.370000000000001,6.15,-5.9,-6.2299999999999995,-6.8,6.11,4.22,5.05,4.86,4.54,5.83,6.34,7.06,4.54,5.83,1.65,3.0,0.0,19.56,12.7,15.85,10.21,20.28,4.0,0.27,1.76,142.61,0.0,0.0,0.0,43.26,0.0,43.2,5402.85,4562.82,4075.03,488.03,4.19,19.12,0.0,6.37,17.64,132.08,82.59,17.64,0.0,19.12,60.44,5.1850000000000005,0
dichloroacetate,Phase 3,pyruvate dehydrogenase kinase inhibitor,5.39,5.161,5.23,-2.7,-2.84,-3.0,3.02,3.77,5.46,5.61,5.08,5.18,4.99,5.43,5.08,5.18,1.24,0.0,0.0,5.15,2.64,1.15,0.33,6.0,2.0,0.51,0.29,0.0,3.28,0.0,0.0,59.16,0.0,0.0,404.94,261.06,218.54,42.51,-0.46,1.46,0.0,0.0,0.0,78.3,66.55,0.0,0.0,1.46,40.13,5.13,0
artesunate,Launched,DNA synthesis inhibitor,5.95,4.541,4.71,-5.4,-5.52,-5.7,6.05,3.55,6.27,4.87,4.26,5.83,6.81,7.9,4.26,5.83,1.5,5.0,0.0,19.4,12.75,12.86,7.42,20.28,8.0,0.21,2.01,138.75,0.0,1.11,0.0,37.5,7.23,16.07,6532.78,5504.23,5197.84,306.4,1.27,9.21,0.0,0.0,0.0,99.98,150.84,17.64,0.0,9.21,103.35,5.045,0
picrotin,Phase 2,GABA receptor antagonist,6.51,4.692000000000001,4.73,-4.7,-4.9,-5.1,5.93,3.49,4.67,3.83,4.67,6.45,7.27,7.19,4.67,6.45,1.88,5.0,2.0,15.87,10.09,9.75,5.54,14.35,7.0,0.55,2.39,64.15,14.71,20.65,0.0,18.75,0.0,27.13,2480.15,1773.03,1352.59,420.42,-0.87,15.49,0.0,0.0,0.0,99.98,80.72,8.82,0.0,15.49,105.59,5.5600000000000005,0
BLU9931,Preclinical,FGFR inhibitor,7.4,6.28,6.49,-5.4,-5.63,-6.0,5.98,4.74,4.59,5.36,5.09,6.16,6.03,5.45,5.09,6.16,1.78,5.0,2.0,25.11,16.85,17.87,9.53,28.02,7.0,0.19,2.57,102.91,8.62,28.63,0.0,118.23,0.0,13.57,13544.91,11414.47,11007.49,410.48,6.8,74.85,0.0,70.77,169.45,161.62,23.86,0.0,54.52,5.26,85.37,5.625,0
upadacitinib,Launched,JAK inhibitor,5.13,4.017,4.72,-5.0,-5.16,-5.4,5.84,3.92,4.7,3.66,4.97,6.99,5.91,5.0,4.97,6.99,1.12,2.0,2.0,19.18,12.87,11.2,5.01,20.28,7.0,0.15,3.53,102.3,50.95,0.0,46.3,27.45,35.73,0.0,6930.94,6274.07,5960.44,313.65,2.38,17.61,55.32,16.79,54.83,104.4,40.65,46.97,5.08,60.15,79.56,5.98,0
LY2811376,Phase 1,beta-secretase inhibitor,5.9,5.307,5.02,-6.2,-6.380000000000001,-6.7,6.35,3.6,4.84,4.46,5.26,5.81,6.16,6.13,5.26,5.81,0.89,2.0,0.0,15.74,10.49,9.91,5.09,16.84,4.0,0.3,2.53,101.61,43.54,0.0,39.02,0.0,0.0,6.79,4265.49,3198.26,3017.57,166.34,1.48,34.26,17.23,0.0,92.87,95.47,16.79,18.24,39.27,17.93,65.77,5.535,0
TC-FPR-43,Preclinical,formyl peptide receptor agonist,6.67,5.968000000000001,6.19,-5.2,-5.340000000000001,-5.6,5.01,4.03,4.86,5.91,4.91,6.27,5.87,5.83,4.91,6.27,1.49,2.0,2.0,19.55,12.88,13.98,7.6,21.7,6.0,0.15,2.16,83.81,6.7,0.0,17.44,103.84,0.0,13.57,8741.27,7715.05,7418.15,286.14,4.22,31.1,0.0,38.41,158.79,135.18,47.72,25.42,23.52,10.09,64.68,5.59,0
L-152804,Preclinical,neuropeptide receptor antagonist,6.65,5.101000000000001,6.01,-6.2,-6.470000000000001,-7.3,6.03,4.39,4.55,4.88,4.65,6.05,6.63,6.21,4.65,6.05,1.44,3.0,0.0,19.56,12.58,15.85,10.03,20.28,4.0,0.45,1.69,130.85,16.92,0.0,0.0,111.76,0.0,40.7,4219.4,3164.42,2583.93,580.5,4.38,17.06,0.0,8.43,70.57,138.55,71.59,4.41,0.0,17.06,60.44,5.35,0
1,Preclinical,PLK inhibitor,5.56,5.196,5.56,-3.2,-3.28,-3.5,5.25,4.17,4.58,4.82,6.34,5.83,5.87,5.26,6.34,5.83,1.53,5.0,0.0,22.05,15.12,16.81,8.38,25.62,6.0,0.25,3.35,111.18,56.04,0.0,17.24,66.35,0.0,0.0,8868.37,7153.4,6717.57,435.84,4.18,16.79,18.44,125.02,158.36,99.49,0.0,0.0,0.0,18.44,66.42,6.085,0
geniposide,Preclinical,GLP receptor agonist,6.41,5.165,5.12,-4.3,-4.5600000000000005,-5.0,5.94,3.53,4.5,6.34,4.56,6.11,6.29,6.7,4.56,6.11,0.91,9.0,5.0,19.71,12.92,10.89,5.54,21.7,10.0,0.32,3.64,42.06,19.62,51.62,0.0,12.25,0.0,13.57,6300.41,4749.09,4401.26,348.4,-2.23,7.75,41.85,41.76,37.34,0.0,67.86,8.82,0.0,49.6,155.14,5.335,0
crotamiton,Launched,antipruritic,6.2,4.892,4.55,-4.3,-4.4799999999999995,-4.8,4.89,3.86,4.42,4.51,4.9,5.77,5.27,4.96,4.9,5.77,1.34,1.0,0.0,11.26,7.2,9.68,5.55,13.07,2.0,0.29,1.03,66.81,0.0,0.0,0.0,49.02,0.0,13.57,1748.91,1490.87,1297.84,193.02,2.92,5.26,18.44,0.0,105.86,102.73,23.86,3.12,2.76,23.7,20.31,5.335,0
CI-923,Phase 1,acetylcholine receptor antagonist,7.18,5.917,5.11,-5.0,-5.24,-5.8,5.05,3.55,4.15,4.6,4.58,5.37,6.03,6.24,4.58,5.37,1.04,2.0,0.0,14.82,10.19,11.83,6.66,15.88,4.0,0.29,2.44,90.52,0.0,0.0,17.24,36.76,0.0,16.07,3745.06,3145.97,2756.28,389.76,1.04,10.87,73.76,3.19,73.76,71.9,23.86,0.0,3.19,81.5,46.15,4.975,0
leonurine,Preclinical,anti-inflammatory agent,6.1,5.697,5.29,-5.6,-5.67,-5.8,4.43,3.13,4.28,5.23,4.71,4.79,6.12,5.49,4.71,4.79,0.88,3.0,0.0,16.54,10.49,9.71,4.13,20.05,8.0,0.2,3.12,67.06,0.0,0.0,15.68,8.46,0.0,27.01,5464.4,4628.41,4416.8,211.6,-0.55,9.64,39.37,70.77,35.29,10.49,77.55,18.01,32.9,49.01,131.46,4.75,0
aceclofenac,Launched,prostanoid receptor antagonist,7.32,6.523999999999999,6.48,-5.6,-5.800000000000001,-6.0,4.58,4.34,4.89,3.98,4.58,5.5,6.99,6.62,4.58,5.5,1.42,1.0,1.0,16.82,10.97,10.41,6.36,19.33,5.0,0.29,1.47,15.23,8.62,0.0,0.0,108.18,0.0,13.7,5243.03,4179.35,3834.4,372.82,2.57,27.22,20.93,18.87,123.5,83.81,101.41,0.0,23.52,30.14,78.46,5.04,0
trovafloxacin,Withdrawn,bacterial DNA gyrase inhibitor,6.37,5.487,5.27,-5.3,-5.51,-5.9,5.8,4.18,5.11,4.8,4.16,6.24,6.83,6.6,4.16,6.24,0.94,2.0,0.0,21.32,14.26,12.46,7.17,21.83,7.0,0.46,3.09,80.98,40.42,0.0,25.86,0.0,0.0,13.57,6032.71,3713.63,3412.94,299.6,0.14,23.94,36.88,3.19,87.79,52.29,90.41,75.33,7.41,44.03,104.21,5.2,0
ZM-447439,Preclinical,Aurora kinase inhibitor,6.65,6.358,6.27,-5.5,-5.609999999999999,-5.8,8.27,4.46,4.02,5.02,5.11,5.34,6.15,6.19,5.11,5.34,1.63,6.0,2.0,26.16,18.69,19.63,10.42,29.49,9.0,0.27,4.14,60.05,88.61,0.0,8.62,36.76,0.0,13.57,16368.37,12340.15,12055.42,280.01,3.32,74.85,118.1,35.38,215.58,18.33,37.99,0.0,48.58,123.36,99.04,5.225,0
LM11A-31,Phase 1,neurotrophic agent,6.52,5.629,5.93,-4.3,-4.51,-4.8,5.13,3.48,4.6,5.02,4.21,5.3,5.11,4.53,4.21,5.3,0.82,3.0,1.0,12.67,8.15,8.68,3.86,15.06,5.0,0.12,2.81,125.28,4.27,0.0,25.86,37.5,0.0,13.57,3638.8,3391.39,3219.51,171.84,-0.91,8.38,115.61,0.0,0.0,66.65,34.86,55.32,0.0,120.87,69.21,4.755,0
SU3327,Preclinical,JNK inhibitor,6.2,5.729,5.79,-4.5,-4.609999999999999,-4.8,4.66,3.76,4.22,4.29,5.17,5.67,6.19,6.59,5.17,5.67,1.28,3.0,1.0,10.84,7.15,3.02,0.41,11.48,7.0,0.15,1.44,0.0,17.24,19.76,0.0,19.76,9.42,46.26,2803.59,2457.25,2387.59,68.03,1.64,57.2,50.94,0.0,17.21,96.21,7.09,50.94,1.43,0.0,110.51,5.42,0
ormeloxifene,Launched,selective estrogen receptor modulator (SERM),6.59,5.64,6.59,-5.5,-5.8,-6.3,5.97,4.28,4.2,4.43,6.91,6.4,5.49,5.97,6.91,6.4,1.65,3.0,0.0,23.55,16.55,20.85,12.54,25.64,4.0,0.36,3.08,93.58,28.14,0.0,8.62,98.04,0.0,0.0,10527.15,7516.57,6972.62,543.82,4.84,0.0,76.24,35.38,211.72,82.38,3.12,0.0,0.0,76.24,32.13,6.655,0
CCG-63802,Preclinical,G protein signaling inhibitor,6.98,6.461,6.71,-5.9,-5.9799999999999995,-6.1,4.94,4.85,5.15,5.84,6.4,6.26,5.67,6.04,6.4,6.26,1.7,4.0,0.0,22.95,16.03,17.54,10.4,24.68,6.0,0.39,2.75,36.48,28.76,11.19,12.95,79.21,17.74,5.68,9096.52,6626.54,5848.88,776.28,5.19,26.86,47.66,16.79,217.36,105.5,25.76,4.41,8.4,10.07,79.22,6.33,0
pelanserin,Phase 2,serotonin receptor antagonist,6.59,5.754,4.86,-5.5,-5.79,-6.2,5.97,4.04,4.84,4.37,5.78,5.23,6.09,5.67,5.78,5.23,0.91,2.0,1.0,18.64,13.22,14.2,7.8,20.28,6.0,0.17,3.15,62.72,0.0,0.0,26.06,61.27,0.0,13.57,7637.19,6676.01,6385.6,290.38,1.47,31.22,110.64,0.0,158.79,29.38,50.85,3.12,23.52,120.73,57.09,5.505000000000001,0
thymol-iodide,Preclinical,,5.21,4.564000000000001,5.06,-5.1,-5.290000000000001,-5.6,4.58,4.46,4.38,4.89,5.33,6.21,4.65,5.25,5.33,6.21,1.49,2.0,0.0,18.02,11.29,14.6,9.06,20.31,2.0,0.12,1.19,85.31,103.48,0.0,0.0,74.99,0.0,9.54,14548.29,13650.71,12280.85,900.06,7.67,0.0,0.0,0.0,76.94,328.6,0.0,0.0,6.37,0.0,18.46,5.77,0
GR-159897,Preclinical,tachykinin antagonist,8.0,6.383,6.27,-5.4,-5.56,-5.8,7.49,3.89,4.64,4.69,5.02,6.26,5.68,7.5,5.02,6.26,1.3,2.0,1.0,20.27,14.08,15.7,8.99,22.2,4.0,0.23,3.18,102.35,19.7,0.0,8.62,36.76,0.0,0.0,8033.71,7014.43,6350.54,663.5,2.72,24.09,72.55,55.8,163.08,14.96,38.21,27.46,4.72,72.55,65.74,5.64,0
solithromycin,Phase 3,protein synthesis inhibitor,7.13,6.411,6.64,-4.8,-5.139999999999999,-5.7,7.18,4.43,5.33,5.11,4.17,6.73,6.57,8.06,4.17,6.73,1.6,10.0,2.0,44.48,28.09,30.8,15.15,50.99,16.0,0.22,6.38,235.34,35.54,10.32,42.53,112.66,0.0,43.2,31873.36,27681.52,25390.48,2290.98,3.45,64.54,18.44,101.18,93.73,326.63,153.57,13.23,8.7,44.88,199.07,5.45,0
XL041,Preclinical,LXR agonist,8.32,6.6819999999999995,5.58,-5.8,-6.119999999999999,-6.4,5.82,4.92,4.51,4.41,4.89,6.26,6.18,5.74,4.89,6.26,1.03,5.0,2.0,29.78,18.46,20.0,11.27,32.9,6.0,0.23,3.39,91.43,44.24,20.65,0.0,83.67,0.0,0.0,18199.65,15264.94,14282.77,1005.43,7.15,66.86,0.0,33.24,167.49,262.45,48.17,19.79,9.13,0.0,92.42,5.574999999999999,0
ajmaline,Launched,sodium channel blocker,5.53,4.994999999999999,5.39,-4.0,-4.3,-4.7,5.37,3.76,4.39,4.93,4.49,7.12,6.75,5.55,4.49,7.12,1.1,3.0,2.0,16.38,11.61,13.22,8.21,15.1,4.0,0.27,1.75,92.91,9.4,20.65,0.0,55.51,0.0,0.0,3706.85,3201.62,2766.18,504.25,1.55,3.12,0.0,32.9,70.57,36.08,0.0,16.36,2.76,0.0,46.94,5.805,0
prasugrel,Launched,purinergic receptor antagonist,7.22,5.833,7.22,-5.4,-5.49,-5.7,5.54,4.37,4.08,5.52,5.06,6.33,6.27,6.87,5.06,6.33,1.43,3.0,0.0,18.26,12.52,13.27,8.01,19.32,4.0,0.39,1.82,117.49,9.02,0.0,0.0,40.95,0.0,29.64,5299.16,4024.96,3461.96,562.22,4.25,16.56,18.44,18.87,88.22,101.42,47.72,13.53,0.0,31.87,46.61,5.695,0
KW-3902,Phase 3,adenosine receptor antagonist,8.18,6.293,7.19,-5.9,-6.119999999999999,-6.4,5.73,4.29,5.51,5.53,4.83,6.36,5.82,5.31,4.83,6.36,1.29,4.0,2.0,18.05,12.57,13.48,7.63,18.06,6.0,0.24,2.13,141.55,22.38,0.0,17.44,37.5,0.0,13.57,5374.03,4418.72,4131.68,287.04,3.69,30.0,36.88,0.0,0.0,92.84,47.72,33.14,2.33,46.97,69.3,5.595000000000001,0
toceranib,Launched,protein tyrosine kinase inhibitor,7.0,5.784,4.61,-5.7,-5.960000000000001,-6.2,5.87,4.05,3.85,5.22,5.05,5.35,6.89,5.63,5.05,5.35,1.21,2.0,3.0,20.54,13.94,14.84,8.44,22.2,6.0,0.13,3.28,75.66,9.02,0.0,8.62,0.0,0.0,27.13,9043.42,8251.34,7916.66,334.35,1.67,28.53,73.76,0.0,56.12,84.37,50.85,43.92,23.95,101.92,78.43,5.199999999999999,0
UNC669,Preclinical,L3MBTL antagonist,6.77,4.999999999999999,3.66,-5.1,-5.340000000000001,-5.7,5.2,3.72,4.73,4.33,4.89,5.62,6.16,5.94,4.89,5.62,0.7,2.0,0.0,13.95,9.74,10.09,5.28,14.92,4.0,0.14,2.28,148.12,0.0,0.0,8.62,0.0,0.0,19.25,5853.56,5424.79,5004.04,459.51,1.13,25.17,73.76,3.06,52.07,45.95,26.99,3.06,0.0,79.02,37.64,5.255,0
sparteine-,Launched,,7.12,5.975,5.33,-4.8,-4.9399999999999995,-5.1,4.58,3.26,4.17,4.38,4.86,5.43,6.09,5.13,4.86,5.43,0.85,0.0,0.0,11.24,8.42,10.09,6.12,10.88,2.0,0.34,2.78,85.65,0.0,0.0,17.24,0.0,0.0,0.0,1881.37,1583.66,1327.96,255.72,-0.49,0.0,73.76,0.0,0.0,0.0,6.25,8.82,0.0,73.76,8.88,5.145,0
ERK5-IN-1,Preclinical,MAP kinase inhibitor,5.79,5.087999999999999,5.58,-5.4,-5.67,-6.0,5.87,4.08,4.7,4.26,4.97,6.23,6.75,5.51,4.97,6.23,1.41,4.0,1.0,23.82,16.46,17.68,7.19,25.64,9.0,0.26,3.71,104.29,26.51,15.68,8.62,24.51,0.0,13.57,9180.17,7494.14,6903.83,588.32,1.92,56.84,73.76,134.08,140.72,20.5,26.99,9.37,33.26,79.02,78.27,5.6,0
tasimelteon,Launched,melatonin receptor agonist,6.27,5.482,6.27,-5.1,-5.2299999999999995,-5.3,5.28,3.59,4.93,4.61,5.04,6.1,5.79,4.89,5.04,6.1,1.42,2.0,1.0,12.54,8.79,10.12,6.4,13.01,3.0,0.19,1.3,77.34,0.0,12.95,0.0,43.26,0.0,13.57,3233.13,2804.12,2660.36,143.61,2.25,5.26,39.37,18.87,52.93,38.57,23.86,22.42,0.0,44.62,38.33,5.57,0
erythromycin-ethylsuccinate,Launched,cytochrome P450 inhibitor  protein synthesis inhibitor,5.89,5.488999999999999,5.89,-4.3,-4.549999999999999,-5.1,7.08,4.28,4.92,4.9,4.18,6.46,6.44,7.68,4.18,6.46,1.51,13.0,4.0,45.65,27.75,31.42,14.93,54.33,17.0,0.36,7.18,268.81,16.51,41.3,8.62,93.74,0.0,54.27,30343.56,21413.61,19973.87,1439.63,1.26,28.92,20.93,101.18,0.0,366.59,186.57,17.64,0.0,49.85,227.48,5.32,0
CCT018159,Preclinical,HSP inhibitor,6.85,5.673,4.73,-6.1,-6.37,-6.8,6.08,4.37,4.07,5.07,5.2,6.48,5.75,5.2,5.2,6.48,1.53,6.0,4.0,18.26,12.58,13.43,8.29,19.32,6.0,0.48,2.14,45.24,23.62,20.65,0.0,31.0,9.42,3.88,4595.68,2750.55,2503.3,246.24,3.8,16.66,41.85,18.87,100.53,87.63,0.0,16.66,12.31,41.85,87.6,5.84,0
thonzonium,Launched,ATPase inhibitor,8.17,7.507000000000001,7.64,-4.3,-4.3999999999999995,-4.6,6.97,4.29,4.41,4.93,6.26,6.97,6.09,6.58,6.26,6.97,1.1,3.0,0.0,26.61,18.04,23.41,12.25,33.21,5.0,0.42,3.35,220.97,0.0,15.68,0.0,147.67,0.0,0.0,12180.41,8424.78,7490.12,933.57,8.32,33.57,55.32,101.18,122.64,58.91,0.0,3.12,1.9,55.32,38.25,6.615,0
tilorone,Launched,interferon inducer,6.99,5.709,6.66,-4.8,-4.9399999999999995,-5.2,4.8,3.89,4.4,5.33,5.05,5.0,5.88,5.25,5.05,5.0,1.61,3.0,0.0,21.51,14.6,17.94,9.76,24.64,5.0,0.09,3.91,55.6,56.29,0.0,17.24,24.51,0.0,13.57,13689.78,12816.45,12470.87,345.57,1.51,5.69,152.49,0.0,112.23,143.79,30.11,0.0,6.37,158.18,44.41,5.025,0
MLN1117,Phase 2,PI3K inhibitor,7.51,6.489,7.01,-6.8,-7.090000000000001,-7.6,5.57,4.01,5.37,4.29,4.61,4.89,5.77,4.51,4.61,4.89,1.29,4.0,1.0,18.38,13.19,12.4,6.27,18.99,8.0,0.16,2.56,43.13,41.83,0.0,0.0,12.25,5.68,20.22,7844.12,6895.45,6661.58,233.88,2.1,43.85,78.73,9.51,97.95,4.59,44.37,0.0,14.76,118.85,99.41,4.75,0
